,Index,Family,Genus,Scientific Name,Japanese Name,Other Name,Western Name,Derivation,Season,In Bloom,Signifies,Search Names,Variants,青（ムーンダスト）,ドラセナ・フラグランス（幸福の木）,青,トゲ,ヒメユリ,黄,クルマユリ,プリムラ・シネンシス,ジャーマンアイリス,ササユリ,カノコユリ,プリムラ・オブコニカ,葉,カサブランカ,ハゴロモジャスミン,白いつぼみ,シダレヤナギ,ソメイヨシノ,ドラセナ・サンデリアーナ（ミリオンバンブー）,実,四つ葉,オニユリ,オレンジ,サトザクラ、ヤエザクラ,ピンク,シダレザクラ,ハナショウブ,プリムラ・ポリアンサ,プリムラ・マラコイデス,ヤマユリ,赤,赤いつぼみ,スカシユリ,白,クチベニズイセン,テッポウユリ,紫,ラッパスイセン,緋色,ドラセナ・コンシンネ,花,赤・ピンク,ロベリア・カーディナリス,フユザクラ,カンザクラ,木,ギンモクセイ,プリムラ・ジュリアン,デンファレ,ネコヤナギ,ヤマザクラ,カキツバタ
アルメリア,22,イソマツ科,ハマカンザシ属,Armeria maritima,浜簪（ハマカンザシ）,['アルメリア、松葉簪（マツバカンザシ）'],"['Thrift, Sea thrift, Sea pink']",属名の学名「Armeria（アルメリア）」は、「海に近い」という意味のケルト語を語源とし、この植物が海岸に自生していることにちなむといわれます。和名の「浜簪（ハマカンザシ）」は、浜辺に咲く花の姿がかんざしに似ていることに由来するともいわれます。また、「松葉簪（マツバカンザシ）」の別名もあります。英語では「Thrift（スリフト）」「Sea thrift（海のスリフト）」「Sea pink（海のナデシコ）」などと呼ばれています。,春,['3月～5月'],['同情'],"['まつばかんざし', 'マツバシン', 'アルメリア', 'ハマカンザシ', '松葉簪', '浜簪', 'まつばしん', 'はまかんざし', 'あるめりあ', 'マツバカンザシ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
フッキソウ,265,ツゲ科,フッキソウ属,Pachysandra terminalis,富貴草（フッキソウ）,['吉事草（キチジソウ）、吉字草（キチジソウ）'],"['Japanese pachysandra, Japanese spurge']",属名の学名「Pachysandra（パキサンドラ）」は、ギリシア語の「pachys（太い）」と「andros（おしべ）」を語源とし、おしべの花糸が太いことに由来します。和名の「富貴草（フッキソウ）」は、常緑でよく茂ることを繁栄にたとえて名付けられたといわれます。同様に「吉事草（キチジソウ）」の別名もあります。英語では「Japanese pachysandra」や「Japanese spurge」と呼ばれます。,春,['4月～5月'],['良き門出'],"['吉事草', '富貴草', 'キチジソウ', 'キチジクサ', 'フウキクサ', 'ふっきそう', 'フッキソウ', '吉字草', 'ふうきくさ', 'きちじくさ', 'きちじそう']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
オトギリソウ,52,オトギリソウ科,オトギリソウ属,Hypericum erectum,弟切草（オトギリソウ）,['鷹の傷薬（タカノキズグスリ）、血止め草（チドメグサ）'],['St. John’s wort（セイヨウオトギリ）'],花名の弟切草（オトギリソウ）は、この植物を原料にした秘薬の秘密をもらした弟を兄が斬り殺したという伝説に由来します。英語では「St. John’s wort（聖ジョンの草）」と呼ばれています。,夏,['7月～8月'],['迷信'],"['弟切草', 'ちとめくさ', 'おとぎりそう', 'たかのきずぐすり', '血止め草', 'チトメクサ', 'チドメグサ', 'ちどめぐさ', '鷹の傷薬', 'オトギリソウ', 'タカノキズグスリ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
カンパニュラ,78,キキョウ科,ホタルブクロ属,Campanula medium,風鈴草（フウリンソウ）,['カンパニュラ・メディウム、釣鐘草（ツリガネソウ）、ベルフラワー'],['Canterbury bells'],属名の学名「Campanula（カンパニュラ）」は、ラテン語の「campana（小さな鐘）」を語源とし、釣鐘のような花の形に由来します。,初夏,['5月～6月'],['感謝'],"['つりがねそう', 'ツリガネクサ', 'フウリンソウ', 'かんぱにゅら・めでぃうむ', 'べるふらわー', 'フウリンクサ', 'ふうりんくさ', '風鈴草', 'カンパニュラ・メディウム', 'ツリガネソウ', 'ふうりんそう', 'つりがねくさ', '釣鐘草', 'ベルフラワー']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
アジサイ,11,アジサイ科,アジサイ属,Hydrangea macrophylla,紫陽花（アジサイ）,['ハイドランジア、西洋紫陽花（セイヨウアジサイ）'],['Hydrangea'],アジサイは「藍色が集まったもの」を意味する「あづさい（集真藍）」が語源といわれます。英名のハイドランジア（Hydrangea）は、ギリシア語の「水の器」を意味する言葉を語源とします。江戸時代に長崎オランダ商館の医官として滞在したドイツの博物学者シーボルト（1796～1866）は、愛する「お滝さん」にちなみ、花の大きい一品種に「オタクサ」と命名しています。,初夏,['6月～7月'],['移り気'],"['はいどらんじあ', 'アジサイ', '紫陽花', 'セイヨウアジサイ', 'ハイドランジア', 'せいようあじさい', '西洋紫陽花', 'あじさい']",['≪白≫「寛容」'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['寛容'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ハナミズキ,237,ミズキ科,ミズキ属,Cornus florida,花水木（ハナミズキ）,['アメリカ山法師（アメリカヤマボウシ）'],"['Flowering dogwood, Dogwood']",和名の「花水木（ハナミズキ）」は、ミズキの仲間で花が目立つことに由来します。英名の「Dogwood（犬の木）」は、樹皮の煮汁が犬の皮膚病治療に使用されたことに由来するともいわれます。,春,['4月～5月'],['永続性'],"['花水木', 'あめりかやまほうし', 'ハナミズキ', 'アメリカヤマボウシ', 'カスイキ', 'あめりかやまぼうし', 'アメリカ山法師', 'アメリカヤマホウシ', 'はなみずき', 'かすいき']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ボダイジュ,298,アオイ科,シナノキ属,Tilia miqueliana,菩提樹（ボダイジュ）,[],"['Linden, Lime']",属名の学名「Tilia（ティリア）」は、ラテン語の「ptilon（翼）」が語源となり、包葉が翼状に花梗につくことに由来するといわれます。菩提樹（ボダイジュ）は、臨済宗の開祖栄西（1141～1215）が中国から持ち帰ったと伝えられています。釈迦は菩提樹の下で悟りを開いたといわれていますが、釈迦の菩提樹はガジュマルなどと同じクワ科のインドボダイジュ（印度菩提樹）を指します。中国では熱帯産であるインドボタイジュの生育には適さないため、葉の形が似ているアオイ科（APG体系）の本種を菩提樹としたといわれます。,夏,['6月～7月'],['夫婦愛'],"['ボダイジュ', 'ぼだいじゅ', '菩提樹']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
カスミソウ,61,ナデシコ科,カスミソウ属,Gypsophila elegans,霞草（カスミソウ）、宿根霞草（シュッコンカスミソウ）,['花糸撫子（ハナイトナデシコ）、ジプソフィラ'],"['Baby’s breath, Gypsophila']",属名の学名「Gypsophila（ギプソフィラ）」は、ギリシア語の「gypsos（石灰）」と「philios（愛する）」を語源とし、この属の花が石灰質の土を好むことにちなみます。和名の霞草（カスミソウ）は、細かく分かれた沢山の枝先に小さな白い花をつける姿が、春霧のように見えることに由来します。英名ではベイビーズブレス（baby’s breath）といい、「愛しい人の吐息」や「赤ちゃんの吐息」という意味です。,初夏,['5月～7月'],['清らかな心'],"['ジプソフィラ', 'シュッコンカスミソウ', '霞草', 'カスミソウ', '宿根霞草', 'はないとなでしこ', 'カシナデシコ', 'しゅっこんかすみそう', 'じぷそふぃら', 'かしなでしこ', 'かすみそう', '花糸撫子', 'ハナイトナデシコ']",['≪ピンク≫「切なる願い」「感激」'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['切なる願い', '感激']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ビワ,258,バラ科,ビワ属,Eriobotrya japonica,枇杷（ビワ）,['バルーンバイン'],"['Loquat', 'Balloon vine, Heart seed']",属名の学名「Eriobotrya（エリオボトリア）」は、ギリシア語の「erion（軟毛）」と「botrys（ブドウ）」を語源とし、表面が白い軟毛で覆われた果実がブドウのような房状になることにちなみます。和名の「びわ」は、葉や果実の形が楽器の琵琶（びわ）に似ていることに由来します。英語では「Loquat（ロークワット）」と呼ばれます。,冬,"['11月～2月（実の収穫期は6月）', '7月～9月']",['治癒'],"['ビワ', 'バルーンバイン', 'びわ', 'ばるーんばいん', '枇杷']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ワイルドストロベリー,372,バラ科,オランダイチゴ属,Fragaria vesca,蝦夷蛇苺（エゾヘビイチゴ）,['ワイルドストロベリー'],"['Wild strawberry, Woodland strawberry']",属名の学名「Fragaria（フラガリア）」は、ラテン語の「fargare（薫る）」が語源となり、芳香を放つ果実にちなみます。和名では「蝦夷蛇苺（エゾヘビイチゴ）」と呼ばれますが、ヘビイチゴの仲間（キジムシロ属）ではなく、オランダイチゴ属の植物です。英語では「Wild strawberry（ワイルドストロベリー / 野生のイチゴ）」や「Woodland strawberry（森のイチゴ）」と呼ばれます。,春～初夏,['4月～6月、9月～10月'],['尊重と愛情'],"['わいるどすとろべりー', 'ワイルドストロベリー', 'エゾヘビイチゴ', '蝦夷蛇苺', 'えぞへびいちご']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
アングレカム,24,ラン科,アングレカム属,Angraecum sesquipedale,アングレカム・セスキペダレ,['アングレクム、アングレークム'],"['Darwin’s orchid, Christmas orchid, Angraecum']",属名の学名「Angraecum（アングレカム）」は、着生ラン（樹木や岩などにくっついて生育しているラン）を意味するマレー語の「angurek」に由来します。英語では大輪の花を咲かせる種のアングレカム・セスキペダレを「Darwin’s orchid（ダーウィンのラン）」、また開花時期から「Christmas orchid（クリスマスのラン）」とも呼んでいます。花の形からアングレカム属の植物は「Comet orchid（星型のラン）」とも呼ばれます。,冬,['11月～2月（種により異なる）'],['祈り'],"['あんぐれかむ・せすきぺだれ', 'アングレカム・セスキペダレ', 'あんぐれーくむ', 'アングレークム', 'アングレクム', 'あんぐれくむ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヒマラヤユキノシタ,250,ユキノシタ科,ヒマラヤユキノシタ属,Bergenia stracheyi,ヒマラヤ雪の下（ヒマラヤユキノシタ）,['大岩団扇（オオイワウチワ）'],['Himalayan creeping saxifrage'],属名の学名「Bergenia（ベルゲニア）」は、ドイツの植物学者カール・ベルゲン（Karl August von Bergen / 1704～1759）の名前にちなみます。和名の「ヒマラヤ雪の下」は、ヒマラヤ地方が原産で寒さに強く、雪がつもってもその下でつやのある緑の葉を茂らしていることにちなむといわれます。英語では「Himalayan creeping saxifrage」と呼ばれています。,早春,['2月～4月'],['秘めた感情'],"['大岩団扇', 'オオイワウチワ', 'ヒマラヤ雪の下', 'ひまらやゆきのした', 'おおいわうちわ', 'ヒマラヤユキノシタ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ベルフラワー,288,キキョウ科,ホタルブクロ属,Campanula portenschlagiana,乙女桔梗（オトメギキョウ）,['ベルフラワー'],"['Dalmatian bellflower, Adria bellflower']",属名の学名「Campanula（カンパニュラ）」は、ラテン語の「campana（小さな鐘）」を語源とし、釣鐘のような花の形に由来します。和名の「乙女桔梗（オトメギキョウ）」は、花の色や形がキキョウに似て、草丈も低く（10～15cm）、花も小さく（直径2cm程度）可憐であることにちなみます。英語ではこの植物がクロアチアのダルマチア地方原産であることから「Dalmatian bellflower（ダルメシアン・ベルフラワー）」と呼ばれます。日本では一般にベルフラワーの名前で流通しています。,春,['4月～5月'],['感謝'],"['乙女桔梗', 'べるふらわー', 'おとめぎきょう', 'オトメキキョウ', 'オトメギキョウ', 'おとめききょう', 'ベルフラワー']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
サントリナ,125,キク科,ワタスギギク属,Santolina chamaecyparissus,綿杉菊（ワタスギギク）,['コットン・ラベンダー'],"['Cotton lavender, Lavender cotton']",属名の学名「Santolina（サントリナ）」は、ラテン語の「sanctum（聖なる）」と「linum（亜麻）」が語源ともいわれます。和名の「綿杉菊（ワタスギギク）」は、葉に銀白色の綿毛が密生し、スギの葉に似た形をしていることに由来するといわれます。英語でも「Cotton lavender（コットン・ラベンダー）」や「Lavender cotton（ラベンダー・コットン）」と呼ばれます。,夏,['6月～7月'],['悪を遠ざける'],"['綿杉菊', 'こっとん・らべんだー', 'めんすぎきく', 'コットン・ラベンダー', 'わたすぎぎく', 'メンスギキク', 'ワタスギギク']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
アイビー,0,ウコギ科,キヅタ属,Hedera helix,西洋木蔦（セイヨウキヅタ）,['イングリッシュアイビー、アイビー、ヘデラ'],"['English ivy, Common ivy, Ivy']",属名の学名「Hedera（ヘデラ）」は、ラテン語の「haerere（しがみつく）」が語源となり、その草姿に由来するともいわれます。,周年,['9月～12月'],['永遠の愛'],"['ヘデラ', 'イングリッシュアイビー', 'あいびー', 'アイビー', '西洋木蔦', 'せいようきづた', 'へでら', 'セイヨウキヅタ', 'いんぐりっしゅあいびー']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ガザニア,59,キク科,ガザニア属,Gazania rigens,勲章菊（クンショウギク）,['ガザニア'],"['Gazania, Treasure flower']",属名の学名「Gazania（ガザニア）」は、古代ギリシアの哲学者アリストテレスなどのギリシア古典書物をラテン語に翻訳したギリシャ人「ガザ」の名前に由来します。英語では学名と同じ「Gazania（ガザニア）」や「Treasure flower（財宝のような花）」と呼ばれます。,春～秋,['5月～10月'],['あなたを誇りに思う'],"['くんしょうぎく', 'クンショウキク', 'ガザニア', '勲章菊', 'クンショウギク', 'がざにあ', 'くんしょうきく']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ドクダミ,197,ドクダミ科,ドクダミ属,Houttuynia cordata,蕺草、毒痛み（ともにドクダミ）,['毒溜め（ドクダメ）、十薬（ジュウヤク）、魚腥草（ギョセイソウ）、地獄蕎麦（ジゴクソバ）'],"['Chameleon plant, Tsi, Doku-dami, Fish mint, Fish herb, Fishwort, Lizard tail']",属名の学名「Houttuynia（ホウツイニア）」は、オランダの植物学者マールテン・ホッタイン（Maarten Houttuyn / 1720～1798）の名前にちなみます。和名のドクダミは、「毒矯み」を語源とし、毒を抑える効能があることに由来するといわれます。また、切り傷、虫さされ、胃腸病など10種類の効能があることから「十薬（じゅうやく）」とも呼ばれます。英語では、「Chameleon plant（カメレオンの植物）」「Lizard tail（トカゲの尻尾）」の呼び名のほか、魚のような匂いから「Fish mint（魚のミント）」「Fish herb（魚のハーブ）」「Fishwort（魚草）」とも呼ばれます。,初夏,['5月～7月'],['野生'],"['ドクイタミ', '十薬', 'どくため', 'クサ', 'さかなせいくさ', 'ジュウヤク', 'くさ', 'どくいたみ', 'ともにドクダミ', 'トモニドクダミ', 'ぎょせいそう', '毒痛み', 'ドクダメ', 'ドクタメ', 'ジゴクソバ', 'サカナセイクサ', 'じゅうやく', 'じごくそば', '毒溜め', '蕺草', 'どくだめ', 'ギョセイソウ', '地獄蕎麦', 'ともにどくだみ', '魚腥草']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
レモン,365,ミカン科,ミカン属,Citrus limon,檸檬（レモン）,[],"['Lemon, Lemon blossom（レモンの花）']",属名の学名「Citrus（シトラス）」は、ラテン語で「シトロンの木」を意味する「citrus（キトルス）」に由来するといわれます。レモンの名前は、原産地インドのヒンディー語「limbu」を語源とし、レモンが西洋に伝わる過程で変化し、スペインで「limon」となり、英語で「lemon（レモン）」になったといわれます。,初夏,['5月～6月'],[],"['檸檬', 'れもん', 'レモン']","['≪花≫「誠実な愛」「思慮分別」', '≪実≫「熱情」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['熱情'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['誠実な愛', '思慮分別']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヒヤシンス,254,キジカクシ科,ヒヤシンス属,Hyacinthus orientalis,風信子（ヒヤシンス）,['ヒアシンス'],"['Hyacinth, Common hyacinth, Garden hyacinth, Dutch hyacinth']",属名の学名「Hyacinthus（ヒヤシンサス）」は、ギリシア神話の美少年ヒュアキントス（Hyakinthos）の名前に由来します。,春,['3月～4月'],['スポーツ'],"['ヒヤシンス', '風信子', 'ひあしんす', 'ひやしんす', 'フウシンコ', 'ヒアシンス', 'ふうしんこ']","['≪紫≫「悲しみ」「悲哀」「初恋のひたむきさ」', '≪赤≫「嫉妬」', '≪ピンク≫「スポーツ」「ゲーム」「しとやかなかわいらしさ」', '≪白≫「控えめな愛らしさ」「心静かな愛」', '≪青≫「変わらぬ愛」', '≪黄≫「あなたとなら幸せ」「勝負」']",[''],[''],['変わらぬ愛'],[''],[''],"['あなたとなら幸せ', '勝負']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['スポーツ', 'ゲーム', 'しとやかなかわいらしさ']",[''],[''],[''],[''],[''],['嫉妬'],[''],[''],"['控えめな愛らしさ', '心静かな愛']",[''],[''],"['悲しみ', '悲哀', '初恋のひたむきさ']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ブーゲンビリア,262,オシロイバナ科,ブーゲンビリア属,Bougainvillea spp.,筏葛（イカダカズラ）,['ブーゲンビリア（ブーゲンビレア）、九重葛（ココノエカズラ）'],['Bougainvillea'],属名の学名「Bougainvillea（ブーゲンビリア）」は、1768年にブラジルでこの植物を発見したフランス人探検家ブーガンヴィル（1729～1811）の名前にちなみます。,初夏、秋,['4月～5月、10月～11月'],['情熱'],"['ここのえかずら', 'いかだくず', 'ブーゲンビリア', 'ここのえくず', '九重葛', '筏葛', 'ブーゲンビレア', 'いかだかずら', 'イカダカズラ', 'ココノエカズラ', 'ぶーげんびりあ', 'ぶーげんびれあ', 'イカダクズ', 'ココノエクズ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
アネモネ,16,キンポウゲ科,イチリンソウ属,Anemone coronaria,アネモネ,['ボタンイチゲ（牡丹一華）、ハナイチゲ（花一華）、ベニバナオキナグサ（紅花翁草）'],"['Anemone, Windflower']",属名の学名「Anemone（アネモネ）」は、ギリシア語の「anemos（風）」を語源とし、春の最初のおだやかな風が吹き始める頃に花を咲かせることにちなむといわれます。英語での別名も「Windflower（風の花）」といいます。,春,['3月～5月'],['はかない恋'],"['ベニバナオキナグサ', 'ハナイチゲ', '紅花翁草', 'べにばなおきなぐさ', 'アネモネ', 'ボタンイチゲ', 'あねもね', '牡丹一華', 'はないちげ', 'ぼたんいちげ', '花一華']","['≪赤≫「君を愛す」', '≪白≫「真実」「期待」「希望」', '≪紫≫「あなたを信じて待つ」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['君を愛す'],[''],[''],"['真実', '期待', '希望']",[''],[''],['あなたを信じて待つ'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ホタルブクロ,299,キキョウ科,ホタルブクロ属,Campanula punctata,蛍袋（ホタルブクロ）,['提灯花（チョウチンバナ）'],['Spotted bellflower'],和名の「蛍袋（ホタルブクロ）」は、子どもが袋のような形をした花のなかにホタルを入れて遊んだことに由来するともいわれます。,初夏,['6月～7月'],['忠実'],"['チョウチンバナ', 'テイトウハナ', '蛍袋', 'ホタルブクロ', 'ちょうちんばな', 'ほたるぶくろ', 'ていとうはな', '提灯花']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ウスベニアオイ,34,アオイ科,ゼニアオイ属,Malva sylvestris,薄紅葵（ウスベニアオイ）,['コモンマロウ、マロウ、ブルーマロウ（ハーブティー）'],"['Common mallow, Mallow']",属名の学名「Malva（マルバ）」は、ギリシア語の「malache（やわらかくする）」を語源とし、この植物の粘液に緩和剤効果があることにちなむといわれます。和名では「薄紅葵（ウスベニアオイ）」と呼ばれます。英語では「Common mallow」「Mallow」などと呼ばれ、日本でもコモンマロウ、マロウの別名があります。また、花はハーブティーとして利用され、お湯を注ぐと青いお茶になることからブルーマロウとも呼ばれます。,初夏～夏,['5月～8月'],['穏やか'],"['こもんまろう', 'ブルーマロウ', 'はーぶてぃー', 'ハーブティー', '薄紅葵', 'マロウ', 'うすべにあおい', 'ウスベニアオイ', 'コモンマロウ', 'まろう', 'ぶるーまろう']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ヒソップ,248,シソ科,ヤナギハッカ属,Hyssopus officinalis,柳薄荷（ヤナギハッカ）,['ヒソップ'],['Hyssop'],属名の学名「Hyssopus（ヒソップス）」は、ヘブライ語の「Ezob（エゾブ / 聖なる草）」に由来するといわれます。英語では「Hyssop（ヒソップ）」と呼ばれます。和名では葉の形がヤナギに似て、ハッカのような香りがすることから「柳薄荷（ヤナギハッカ）」と呼ばれます。,夏,['7月～9月'],['清潔'],"['ヒソップ', '柳薄荷', 'ひそっぷ', 'ヤナギハッカ', 'やなぎはっか']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
シュンラン,143,ラン科,シュンラン属,Cymbidium goeringii,春蘭（シュンラン）,['ジジババ、ホクロ'],"['Riverstream orchid, Noble orchid']",属名の学名「Cymbidium（シンビジウム）」は、ギリシア語の「cymbe（舟）」と「eidos（形）」を語源とし、その唇弁（ラン科植物にみられるくちびる状の花びら）の形に由来するといわれます。和名の「春蘭（シュンラン）」は春に花を咲かせることにちなみます。別名の「ジジババ」の由来は諸説あり、花の上部がおばあさんのほっかむりに、下部がおじいさんの白ひげに似ていることにちなむともいわれます。,春,['3月～4月'],['控えめな美'],"['じじばば', 'ホクロ', 'ほくろ', 'しゅんらん', '春蘭', 'シュンラン', 'ジジババ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
